Date,Category,Sales,Quantity
2024-01-10 00:00:00,Home,1676,3
2024-01-10 01:00:00,Home,797,48
2024-01-10 02:00:00,Electronics,1989,1
2024-01-10 03:00:00,Electronics,946,44
2024-01-10 04:00:00,Fashion,1901,30
2024-01-10 05:00:00,Electronics,882,46
2024-01-10 06:00:00,Grocery,141,19
2024-01-10 07:00:00,Home,1216,19
2024-01-10 08:00:00,Electronics,1820,9
2024-01-10 09:00:00,Electronics,1850,7
2024-01-10 10:00:00,Fashion,1630,46
2024-01-10 11:00:00,Fashion,628,37
2024-01-10 12:00:00,Grocery,1388,41
2024-01-10 13:00:00,Home,1749,7
2024-01-10 14:00:00,Fashion,391,9
2024-01-10 15:00:00,Electronics,1068,4
2024-01-10 16:00:00,Home,1587,25
2024-01-10 17:00:00,Home,1927,49
2024-01-10 18:00:00,Electronics,1683,12
2024-01-10 19:00:00,Fashion,1942,6
2024-01-10 20:00:00,Electronics,196,18
2024-01-10 21:00:00,Home,1218,40
2024-01-10 22:00:00,Sports,1449,21
2024-01-10 23:00:00,Sports,173,15
2024-01-11 00:00:00,Grocery,1459,3
2024-01-11 01:00:00,Electronics,1191,2
2024-01-11 02:00:00,Electronics,857,41
2024-01-11 03:00:00,Grocery,1200,40
2024-01-11 04:00:00,Grocery,307,4
2024-01-11 05:00:00,Grocery,1889,32
2024-01-11 06:00:00,Home,1344,2
2024-01-11 07:00:00,Electronics,1385,46
2024-01-11 08:00:00,Home,509,29
2024-01-11 09:00:00,Grocery,430,2
2024-01-11 10:00:00,Electronics,443,34
2024-01-11 11:00:00,Home,1088,27
2024-01-11 12:00:00,Home,870,39
2024-01-11 13:00:00,Grocery,1943,44
2024-01-11 14:00:00,Electronics,173,38
2024-01-11 15:00:00,Grocery,1760,18
2024-01-11 16:00:00,Electronics,1823,36
2024-01-11 17:00:00,Sports,353,19
2024-01-11 18:00:00,Fashion,1058,27
2024-01-11 19:00:00,Fashion,1956,45
2024-01-11 20:00:00,Fashion,919,20
2024-01-11 21:00:00,Grocery,1870,21
2024-01-11 22:00:00,Sports,1085,23
2024-01-11 23:00:00,Electronics,1885,30
2024-01-12 00:00:00,Home,431,25
2024-01-12 01:00:00,Electronics,1521,31
2024-01-12 02:00:00,Home,1468,27
2024-01-12 03:00:00,Electronics,1707,34
2024-01-12 04:00:00,Sports,846,8
2024-01-12 05:00:00,Home,935,19
2024-01-12 06:00:00,Grocery,1791,41
2024-01-12 07:00:00,Electronics,554,26
2024-01-12 08:00:00,Electronics,1238,28
2024-01-12 09:00:00,Home,412,4
2024-01-12 10:00:00,Grocery,1117,31
2024-01-12 11:00:00,Grocery,327,16
2024-01-12 12:00:00,Sports,933,10
2024-01-12 13:00:00,Grocery,957,38
2024-01-12 14:00:00,Grocery,1368,48
2024-01-12 15:00:00,Grocery,917,10
2024-01-12 16:00:00,Fashion,1649,45
2024-01-12 17:00:00,Sports,1117,9
2024-01-12 18:00:00,Electronics,627,39
2024-01-12 19:00:00,Home,1049,36
2024-01-12 20:00:00,Electronics,526,36
2024-01-12 21:00:00,Sports,141,19
2024-01-12 22:00:00,Home,564,19
2024-01-12 23:00:00,Sports,1745,12
2024-01-13 00:00:00,Grocery,377,13
2024-01-13 01:00:00,Home,935,25
2024-01-13 02:00:00,Grocery,118,36
2024-01-13 03:00:00,Electronics,165,25
2024-01-13 04:00:00,Electronics,266,28
2024-01-13 05:00:00,Home,1708,42
2024-01-13 06:00:00,Home,1119,39
2024-01-13 07:00:00,Sports,502,30
2024-01-13 08:00:00,Sports,1945,5
2024-01-13 09:00:00,Grocery,508,17
2024-01-13 10:00:00,Home,211,18
2024-01-13 11:00:00,Electronics,1397,43
2024-01-13 12:00:00,Sports,1530,47
2024-01-13 13:00:00,Sports,1496,21
2024-01-13 14:00:00,Electronics,696,22
2024-01-13 15:00:00,Sports,750,39
2024-01-13 16:00:00,Grocery,1162,6
2024-01-13 17:00:00,Home,204,16
2024-01-13 18:00:00,Electronics,423,2
2024-01-13 19:00:00,Home,1916,1
2024-01-13 20:00:00,Sports,1091,30
2024-01-13 21:00:00,Sports,1537,43
2024-01-13 22:00:00,Electronics,528,37
2024-01-13 23:00:00,Grocery,734,48
2024-01-14 00:00:00,Fashion,829,23
2024-01-14 01:00:00,Electronics,988,1
2024-01-14 02:00:00,Fashion,1184,19
2024-01-14 03:00:00,Fashion,1735,46
2024-01-14 04:00:00,Grocery,1430,3
2024-01-14 05:00:00,Fashion,1477,2
2024-01-14 06:00:00,Fashion,492,37
2024-01-14 07:00:00,Grocery,303,17
2024-01-14 08:00:00,Fashion,357,28
2024-01-14 09:00:00,Fashion,585,18
2024-01-14 10:00:00,Fashion,1640,33
2024-01-14 11:00:00,Electronics,545,15
2024-01-14 12:00:00,Electronics,1832,22
2024-01-14 13:00:00,Electronics,1303,41
2024-01-14 14:00:00,Grocery,1123,27
2024-01-14 15:00:00,Sports,441,37
2024-01-14 16:00:00,Fashion,232,32
2024-01-14 17:00:00,Fashion,542,45
2024-01-14 18:00:00,Grocery,1959,19
2024-01-14 19:00:00,Fashion,352,28
2024-01-14 20:00:00,Electronics,364,28
2024-01-14 21:00:00,Sports,192,10
2024-01-14 22:00:00,Home,1785,20
2024-01-14 23:00:00,Fashion,1534,25
2024-01-15 00:00:00,Electronics,237,21
2024-01-15 01:00:00,Home,1331,14
2024-01-15 02:00:00,Sports,1101,22
2024-01-15 03:00:00,Home,1760,26
2024-01-15 04:00:00,Electronics,1869,44
2024-01-15 05:00:00,Home,1696,11
2024-01-15 06:00:00,Grocery,406,7
2024-01-15 07:00:00,Home,365,17
2024-01-15 08:00:00,Fashion,745,18
2024-01-15 09:00:00,Fashion,417,7
2024-01-15 10:00:00,Grocery,1236,20
2024-01-15 11:00:00,Electronics,1000,38
2024-01-15 12:00:00,Fashion,1501,11
2024-01-15 13:00:00,Sports,553,44
2024-01-15 14:00:00,Fashion,290,16
2024-01-15 15:00:00,Fashion,1563,27
2024-01-15 16:00:00,Electronics,1310,11
2024-01-15 17:00:00,Home,930,16
2024-01-15 18:00:00,Fashion,1490,23
2024-01-15 19:00:00,Grocery,1212,12
2024-01-15 20:00:00,Home,286,40
2024-01-15 21:00:00,Sports,918,3
2024-01-15 22:00:00,Electronics,1120,2
2024-01-15 23:00:00,Sports,231,38
2024-01-16 00:00:00,Home,971,48
2024-01-16 01:00:00,Home,734,24
2024-01-16 02:00:00,Home,1683,29
2024-01-16 03:00:00,Sports,1923,47
2024-01-16 04:00:00,Home,1499,46
2024-01-16 05:00:00,Sports,790,34
2024-01-16 06:00:00,Home,791,20
2024-01-16 07:00:00,Grocery,1222,18
2024-01-16 08:00:00,Home,1965,14
2024-01-16 09:00:00,Sports,1157,18
2024-01-16 10:00:00,Fashion,681,2
2024-01-16 11:00:00,Home,270,1
2024-01-16 12:00:00,Fashion,1489,20
2024-01-16 13:00:00,Grocery,883,34
2024-01-16 14:00:00,Electronics,1182,41
2024-01-16 15:00:00,Grocery,280,41
2024-01-16 16:00:00,Home,118,48
2024-01-16 17:00:00,Fashion,1349,11
2024-01-16 18:00:00,Fashion,1596,27
2024-01-16 19:00:00,Sports,1218,23
2024-01-16 20:00:00,Fashion,980,38
2024-01-16 21:00:00,Sports,1420,44
2024-01-16 22:00:00,Electronics,1716,3
2024-01-16 23:00:00,Home,274,12
2024-01-17 00:00:00,Sports,1345,30
2024-01-17 01:00:00,Electronics,1738,31
2024-01-17 02:00:00,Fashion,153,23
2024-01-17 03:00:00,Fashion,794,1
2024-01-17 04:00:00,Electronics,962,41
2024-01-17 05:00:00,Fashion,1526,20
2024-01-17 06:00:00,Electronics,1441,6
2024-01-17 07:00:00,Sports,1990,11
2024-01-17 08:00:00,Sports,448,35
2024-01-17 09:00:00,Electronics,542,4
2024-01-17 10:00:00,Sports,932,29
2024-01-17 11:00:00,Sports,679,10
2024-01-17 12:00:00,Sports,1663,29
2024-01-17 13:00:00,Grocery,1909,38
2024-01-17 14:00:00,Home,381,1
2024-01-17 15:00:00,Fashion,459,40
2024-01-17 16:00:00,Grocery,1014,8
2024-01-17 17:00:00,Sports,922,38
2024-01-17 18:00:00,Electronics,1754,17
2024-01-17 19:00:00,Sports,991,19
2024-01-17 20:00:00,Home,1052,33
2024-01-17 21:00:00,Sports,1769,15
2024-01-17 22:00:00,Electronics,740,45
2024-01-17 23:00:00,Home,1131,31
2024-01-18 00:00:00,Sports,662,21
2024-01-18 01:00:00,Home,590,3
2024-01-18 02:00:00,Fashion,440,2
2024-01-18 03:00:00,Fashion,571,35
2024-01-18 04:00:00,Sports,1916,41
2024-01-18 05:00:00,Home,1810,16
2024-01-18 06:00:00,Electronics,1818,45
2024-01-18 07:00:00,Sports,1827,21
2024-01-18 08:00:00,Fashion,348,12
2024-01-18 09:00:00,Fashion,334,28
2024-01-18 10:00:00,Sports,1206,12
2024-01-18 11:00:00,Home,1216,33
2024-01-18 12:00:00,Fashion,1517,20
2024-01-18 13:00:00,Home,923,40
2024-01-18 14:00:00,Fashion,1391,49
2024-01-18 15:00:00,Fashion,1540,21
2024-01-18 16:00:00,Grocery,731,39
2024-01-18 17:00:00,Fashion,1706,41
2024-01-18 18:00:00,Electronics,628,49
2024-01-18 19:00:00,Sports,1376,42
2024-01-18 20:00:00,Sports,221,36
2024-01-18 21:00:00,Home,991,22
2024-01-18 22:00:00,Fashion,109,26
2024-01-18 23:00:00,Electronics,1922,7
2024-01-19 00:00:00,Home,1439,7
2024-01-19 01:00:00,Grocery,937,8
2024-01-19 02:00:00,Home,1396,26
2024-01-19 03:00:00,Home,1429,24
2024-01-19 04:00:00,Fashion,1928,24
2024-01-19 05:00:00,Grocery,1333,40
2024-01-19 06:00:00,Home,1853,48
2024-01-19 07:00:00,Electronics,852,12
2024-01-19 08:00:00,Electronics,985,47
2024-01-19 09:00:00,Sports,563,8
2024-01-19 10:00:00,Grocery,811,9
2024-01-19 11:00:00,Grocery,827,3
2024-01-19 12:00:00,Sports,816,21
2024-01-19 13:00:00,Home,1539,31
2024-01-19 14:00:00,Grocery,1339,48
2024-01-19 15:00:00,Electronics,179,47
2024-01-19 16:00:00,Electronics,1902,24
2024-01-19 17:00:00,Fashion,579,4
2024-01-19 18:00:00,Grocery,1001,20
2024-01-19 19:00:00,Home,990,16
2024-01-19 20:00:00,Sports,1670,10
2024-01-19 21:00:00,Sports,1924,43
2024-01-19 22:00:00,Home,117,26
2024-01-19 23:00:00,Fashion,1288,29
2024-01-20 00:00:00,Sports,1648,5
2024-01-20 01:00:00,Grocery,301,11
2024-01-20 02:00:00,Fashion,840,29
2024-01-20 03:00:00,Grocery,1469,45
2024-01-20 04:00:00,Electronics,1489,15
2024-01-20 05:00:00,Fashion,1571,6
2024-01-20 06:00:00,Sports,1636,48
2024-01-20 07:00:00,Fashion,418,15
2024-01-20 08:00:00,Fashion,316,43
2024-01-20 09:00:00,Fashion,1157,20
2024-01-20 10:00:00,Fashion,1994,34
2024-01-20 11:00:00,Grocery,365,2
2024-01-20 12:00:00,Electronics,1763,44
2024-01-20 13:00:00,Home,823,16
2024-01-20 14:00:00,Fashion,874,19
2024-01-20 15:00:00,Sports,1947,34
2024-01-20 16:00:00,Fashion,1203,49
2024-01-20 17:00:00,Sports,1800,14
2024-01-20 18:00:00,Grocery,512,24
2024-01-20 19:00:00,Sports,1375,28
2024-01-20 20:00:00,Home,1135,48
2024-01-20 21:00:00,Electronics,500,32
2024-01-20 22:00:00,Sports,1939,37
2024-01-20 23:00:00,Sports,823,10
2024-01-21 00:00:00,Electronics,381,49
2024-01-21 01:00:00,Home,1235,45
2024-01-21 02:00:00,Fashion,822,48
2024-01-21 03:00:00,Sports,1501,9
2024-01-21 04:00:00,Electronics,850,24
2024-01-21 05:00:00,Grocery,367,36
2024-01-21 06:00:00,Electronics,397,29
2024-01-21 07:00:00,Grocery,1440,29
2024-01-21 08:00:00,Home,669,48
2024-01-21 09:00:00,Fashion,608,23
2024-01-21 10:00:00,Electronics,645,27
2024-01-21 11:00:00,Sports,874,31
2024-01-21 12:00:00,Home,464,43
2024-01-21 13:00:00,Electronics,646,7
2024-01-21 14:00:00,Sports,370,49
2024-01-21 15:00:00,Electronics,1597,45
2024-01-21 16:00:00,Grocery,838,4
2024-01-21 17:00:00,Electronics,636,14
2024-01-21 18:00:00,Electronics,1357,42
2024-01-21 19:00:00,Electronics,158,42
2024-01-21 20:00:00,Home,1374,10
2024-01-21 21:00:00,Electronics,1970,44
2024-01-21 22:00:00,Sports,185,34
2024-01-21 23:00:00,Grocery,862,26
2024-01-22 00:00:00,Grocery,489,23
2024-01-22 01:00:00,Electronics,1303,9
2024-01-22 02:00:00,Home,818,37
2024-01-22 03:00:00,Home,955,8
2024-01-22 04:00:00,Sports,248,14
2024-01-22 05:00:00,Electronics,682,7
2024-01-22 06:00:00,Grocery,220,7
2024-01-22 07:00:00,Home,864,9
2024-01-22 08:00:00,Electronics,704,3
2024-01-22 09:00:00,Home,355,14
2024-01-22 10:00:00,Home,865,17
2024-01-22 11:00:00,Grocery,963,44
2024-01-22 12:00:00,Fashion,899,22
2024-01-22 13:00:00,Sports,1432,46
2024-01-22 14:00:00,Sports,158,26
2024-01-22 15:00:00,Grocery,1121,28
2024-01-22 16:00:00,Home,1192,45
2024-01-22 17:00:00,Electronics,1569,14
2024-01-22 18:00:00,Home,487,9
2024-01-22 19:00:00,Grocery,1209,26
2024-01-22 20:00:00,Sports,885,2
2024-01-22 21:00:00,Home,1350,11
2024-01-22 22:00:00,Sports,692,17
2024-01-22 23:00:00,Electronics,1749,34
2024-01-23 00:00:00,Sports,1307,19
2024-01-23 01:00:00,Sports,1915,39
2024-01-23 02:00:00,Fashion,1445,18
2024-01-23 03:00:00,Fashion,1008,13
2024-01-23 04:00:00,Fashion,1441,5
2024-01-23 05:00:00,Sports,665,23
2024-01-23 06:00:00,Grocery,498,24
2024-01-23 07:00:00,Sports,1832,29
2024-01-23 08:00:00,Grocery,998,48
2024-01-23 09:00:00,Grocery,1416,47
2024-01-23 10:00:00,Fashion,392,8
2024-01-23 11:00:00,Home,584,26
2024-01-23 12:00:00,Electronics,1570,15
2024-01-23 13:00:00,Fashion,902,1
2024-01-23 14:00:00,Fashion,1815,28
2024-01-23 15:00:00,Home,1535,49
2024-01-23 16:00:00,Electronics,1631,47
2024-01-23 17:00:00,Sports,1857,46
2024-01-23 18:00:00,Sports,1909,14
2024-01-23 19:00:00,Fashion,989,42
2024-01-23 20:00:00,Electronics,343,34
2024-01-23 21:00:00,Fashion,1543,31
2024-01-23 22:00:00,Grocery,1059,6
2024-01-23 23:00:00,Fashion,1277,49
2024-01-24 00:00:00,Fashion,915,5
2024-01-24 01:00:00,Sports,1547,31
2024-01-24 02:00:00,Sports,372,37
2024-01-24 03:00:00,Sports,1770,15
2024-01-24 04:00:00,Grocery,1948,15
2024-01-24 05:00:00,Sports,619,43
2024-01-24 06:00:00,Electronics,1251,5
2024-01-24 07:00:00,Home,1496,28
2024-01-24 08:00:00,Electronics,667,33
2024-01-24 09:00:00,Electronics,737,11
2024-01-24 10:00:00,Sports,258,43
2024-01-24 11:00:00,Home,1694,6
2024-01-24 12:00:00,Home,1693,23
2024-01-24 13:00:00,Home,751,40
2024-01-24 14:00:00,Grocery,275,2
2024-01-24 15:00:00,Sports,719,15
2024-01-24 16:00:00,Home,310,23
2024-01-24 17:00:00,Grocery,546,22
2024-01-24 18:00:00,Fashion,685,9
2024-01-24 19:00:00,Fashion,266,47
2024-01-24 20:00:00,Grocery,559,40
2024-01-24 21:00:00,Grocery,1015,30
2024-01-24 22:00:00,Sports,1480,16
2024-01-24 23:00:00,Sports,1427,46
2024-01-25 00:00:00,Fashion,1356,47
2024-01-25 01:00:00,Home,1450,30
2024-01-25 02:00:00,Fashion,1305,45
2024-01-25 03:00:00,Home,1757,9
2024-01-25 04:00:00,Home,1457,1
2024-01-25 05:00:00,Sports,1838,38
2024-01-25 06:00:00,Electronics,1152,8
2024-01-25 07:00:00,Electronics,813,18
2024-01-25 08:00:00,Grocery,1216,27
2024-01-25 09:00:00,Sports,940,18
2024-01-25 10:00:00,Home,967,32
2024-01-25 11:00:00,Electronics,787,49
2024-01-25 12:00:00,Home,429,32
2024-01-25 13:00:00,Electronics,1846,48
2024-01-25 14:00:00,Electronics,1307,45
2024-01-25 15:00:00,Electronics,194,36
2024-01-25 16:00:00,Sports,884,36
2024-01-25 17:00:00,Fashion,748,21
2024-01-25 18:00:00,Home,1872,46
2024-01-25 19:00:00,Sports,452,32
2024-01-25 20:00:00,Sports,1029,31
2024-01-25 21:00:00,Sports,1040,37
2024-01-25 22:00:00,Sports,1083,16
2024-01-25 23:00:00,Sports,1388,46
2024-01-26 00:00:00,Grocery,1770,46
2024-01-26 01:00:00,Home,1779,14
2024-01-26 02:00:00,Sports,1142,24
2024-01-26 03:00:00,Home,1866,25
2024-01-26 04:00:00,Grocery,745,46
2024-01-26 05:00:00,Grocery,725,35
2024-01-26 06:00:00,Home,1622,17
2024-01-26 07:00:00,Electronics,238,46
2024-01-26 08:00:00,Fashion,1760,42
2024-01-26 09:00:00,Electronics,815,45
2024-01-26 10:00:00,Electronics,1696,4
2024-01-26 11:00:00,Electronics,861,11
2024-01-26 12:00:00,Sports,1933,47
2024-01-26 13:00:00,Grocery,1648,15
2024-01-26 14:00:00,Electronics,354,30
2024-01-26 15:00:00,Grocery,1208,24
2024-01-26 16:00:00,Home,1581,2
2024-01-26 17:00:00,Fashion,1655,43
2024-01-26 18:00:00,Home,1685,34
2024-01-26 19:00:00,Home,775,23
2024-01-26 20:00:00,Sports,191,31
2024-01-26 21:00:00,Fashion,1723,37
2024-01-26 22:00:00,Home,1192,13
2024-01-26 23:00:00,Home,136,33
2024-01-27 00:00:00,Fashion,1888,7
2024-01-27 01:00:00,Fashion,1887,32
2024-01-27 02:00:00,Home,239,7
2024-01-27 03:00:00,Fashion,966,42
2024-01-27 04:00:00,Home,779,38
2024-01-27 05:00:00,Home,1689,44
2024-01-27 06:00:00,Sports,1301,13
2024-01-27 07:00:00,Electronics,1932,24
2024-01-27 08:00:00,Home,1936,28
2024-01-27 09:00:00,Grocery,1994,32
2024-01-27 10:00:00,Electronics,1741,43
2024-01-27 11:00:00,Electronics,236,18
2024-01-27 12:00:00,Electronics,289,34
2024-01-27 13:00:00,Sports,1763,48
