Date,Region,Sales,Quantity
2024-01-03 12:00:00,East,164,12
2024-01-03 13:00:00,East,391,8
2024-01-03 14:00:00,North,124,2
2024-01-03 15:00:00,North,648,7
2024-01-03 16:00:00,East,100,4
2024-01-03 17:00:00,South,648,18
2024-01-03 18:00:00,West,240,6
2024-01-03 19:00:00,North,843,9
2024-01-03 20:00:00,West,747,9
2024-01-03 21:00:00,South,287,14
2024-01-03 22:00:00,South,227,8
2024-01-03 23:00:00,South,300,19
2024-01-04 00:00:00,North,226,3
2024-01-04 01:00:00,South,356,18
2024-01-04 02:00:00,North,775,5
2024-01-04 03:00:00,South,646,14
2024-01-04 04:00:00,West,293,4
2024-01-04 05:00:00,West,802,7
2024-01-04 06:00:00,East,203,12
2024-01-04 07:00:00,West,634,2
2024-01-04 08:00:00,East,364,11
2024-01-04 09:00:00,West,901,14
2024-01-04 10:00:00,North,483,16
2024-01-04 11:00:00,West,359,6
2024-01-04 12:00:00,East,513,4
2024-01-04 13:00:00,East,457,15
2024-01-04 14:00:00,South,174,1
2024-01-04 15:00:00,North,454,7
2024-01-04 16:00:00,West,683,12
2024-01-04 17:00:00,South,870,10
2024-01-04 18:00:00,West,287,5
2024-01-04 19:00:00,West,784,12
2024-01-04 20:00:00,South,389,18
2024-01-04 21:00:00,South,144,10
2024-01-04 22:00:00,South,672,6
2024-01-04 23:00:00,South,182,12
2024-01-05 00:00:00,South,222,7
2024-01-05 01:00:00,West,457,18
2024-01-05 02:00:00,South,627,2
2024-01-05 03:00:00,North,165,10
2024-01-05 04:00:00,East,756,15
2024-01-05 05:00:00,South,474,12
2024-01-05 06:00:00,South,261,17
2024-01-05 07:00:00,West,845,4
2024-01-05 08:00:00,South,479,7
2024-01-05 09:00:00,South,755,9
2024-01-05 10:00:00,South,457,19
2024-01-05 11:00:00,West,287,7
2024-01-05 12:00:00,South,421,2
2024-01-05 13:00:00,East,549,6
2024-01-05 14:00:00,West,573,18
2024-01-05 15:00:00,East,112,6
2024-01-05 16:00:00,West,283,13
2024-01-05 17:00:00,South,210,19
2024-01-05 18:00:00,East,607,2
2024-01-05 19:00:00,West,389,12
2024-01-05 20:00:00,North,394,15
2024-01-05 21:00:00,South,550,14
2024-01-05 22:00:00,West,314,6
2024-01-05 23:00:00,North,731,18
2024-01-06 00:00:00,West,993,5
2024-01-06 01:00:00,North,666,18
2024-01-06 02:00:00,South,126,3
2024-01-06 03:00:00,East,729,3
2024-01-06 04:00:00,North,832,10
2024-01-06 05:00:00,West,330,19
2024-01-06 06:00:00,South,664,3
2024-01-06 07:00:00,North,906,12
2024-01-06 08:00:00,West,420,16
2024-01-06 09:00:00,West,332,17
2024-01-06 10:00:00,West,769,7
2024-01-06 11:00:00,North,536,13
2024-01-06 12:00:00,North,880,2
2024-01-06 13:00:00,North,632,4
2024-01-06 14:00:00,East,502,10
2024-01-06 15:00:00,North,152,7
2024-01-06 16:00:00,North,886,17
2024-01-06 17:00:00,North,412,6
2024-01-06 18:00:00,East,380,19
2024-01-06 19:00:00,North,825,5
2024-01-06 20:00:00,West,130,10
2024-01-06 21:00:00,North,436,9
2024-01-06 22:00:00,West,282,13
2024-01-06 23:00:00,West,122,19
2024-01-07 00:00:00,West,643,6
2024-01-07 01:00:00,East,545,4
2024-01-07 02:00:00,East,173,3
2024-01-07 03:00:00,East,109,3
2024-01-07 04:00:00,North,583,4
2024-01-07 05:00:00,West,555,5
2024-01-07 06:00:00,East,665,8
2024-01-07 07:00:00,East,663,16
2024-01-07 08:00:00,North,759,3
2024-01-07 09:00:00,East,259,12
2024-01-07 10:00:00,North,981,8
2024-01-07 11:00:00,South,113,13
2024-01-07 12:00:00,East,277,4
2024-01-07 13:00:00,South,511,14
2024-01-07 14:00:00,North,977,14
2024-01-07 15:00:00,West,152,13
2024-01-07 16:00:00,East,507,6
2024-01-07 17:00:00,North,946,17
2024-01-07 18:00:00,West,121,4
2024-01-07 19:00:00,West,129,8
2024-01-07 20:00:00,South,802,17
2024-01-07 21:00:00,North,359,3
2024-01-07 22:00:00,West,304,17
2024-01-07 23:00:00,East,158,9
2024-01-08 00:00:00,East,570,2
2024-01-08 01:00:00,South,875,13
2024-01-08 02:00:00,West,565,2
2024-01-08 03:00:00,North,111,11
2024-01-08 04:00:00,East,730,15
2024-01-08 05:00:00,West,389,11
2024-01-08 06:00:00,West,949,3
2024-01-08 07:00:00,South,859,3
2024-01-08 08:00:00,East,453,12
2024-01-08 09:00:00,East,738,5
2024-01-08 10:00:00,North,174,7
2024-01-08 11:00:00,East,972,7
2024-01-08 12:00:00,North,815,13
2024-01-08 13:00:00,East,660,9
2024-01-08 14:00:00,South,690,13
2024-01-08 15:00:00,East,540,12
2024-01-08 16:00:00,North,340,13
2024-01-08 17:00:00,North,960,10
2024-01-08 18:00:00,South,253,1
2024-01-08 19:00:00,East,885,8
2024-01-08 20:00:00,East,195,16
2024-01-08 21:00:00,South,825,13
2024-01-08 22:00:00,East,393,3
2024-01-08 23:00:00,East,308,3
2024-01-09 00:00:00,North,442,5
2024-01-09 01:00:00,East,187,11
2024-01-09 02:00:00,East,917,7
2024-01-09 03:00:00,South,875,10
2024-01-09 04:00:00,South,489,10
2024-01-09 05:00:00,West,424,2
2024-01-09 06:00:00,North,988,3
2024-01-09 07:00:00,East,931,8
2024-01-09 08:00:00,East,256,11
2024-01-09 09:00:00,West,767,13
2024-01-09 10:00:00,East,750,7
2024-01-09 11:00:00,North,732,13
2024-01-09 12:00:00,West,676,2
2024-01-09 13:00:00,North,718,6
2024-01-09 14:00:00,West,758,9
2024-01-09 15:00:00,West,236,2
2024-01-09 16:00:00,South,773,18
2024-01-09 17:00:00,North,527,16
2024-01-09 18:00:00,East,551,12
2024-01-09 19:00:00,East,711,7
2024-01-09 20:00:00,North,949,7
2024-01-09 21:00:00,East,918,17
2024-01-09 22:00:00,East,240,13
2024-01-09 23:00:00,North,182,11
2024-01-10 00:00:00,West,276,6
2024-01-10 01:00:00,North,297,14
2024-01-10 02:00:00,West,723,6
2024-01-10 03:00:00,East,667,6
2024-01-10 04:00:00,East,790,2
2024-01-10 05:00:00,East,520,15
2024-01-10 06:00:00,South,500,17
2024-01-10 07:00:00,West,797,8
2024-01-10 08:00:00,South,570,5
2024-01-10 09:00:00,South,317,17
2024-01-10 10:00:00,North,927,1
2024-01-10 11:00:00,South,828,18
2024-01-10 12:00:00,North,731,15
2024-01-10 13:00:00,North,274,5
2024-01-10 14:00:00,South,122,7
2024-01-10 15:00:00,West,824,18
2024-01-10 16:00:00,West,334,6
2024-01-10 17:00:00,West,112,5
2024-01-10 18:00:00,West,200,19
2024-01-10 19:00:00,West,635,10
2024-01-10 20:00:00,South,975,15
2024-01-10 21:00:00,South,622,10
2024-01-10 22:00:00,East,884,16
2024-01-10 23:00:00,West,551,12
2024-01-11 00:00:00,South,530,18
2024-01-11 01:00:00,East,892,1
2024-01-11 02:00:00,West,705,16
2024-01-11 03:00:00,North,812,6
2024-01-11 04:00:00,East,632,3
2024-01-11 05:00:00,South,951,2
2024-01-11 06:00:00,North,822,2
2024-01-11 07:00:00,North,751,13
2024-01-11 08:00:00,North,392,9
2024-01-11 09:00:00,East,909,16
2024-01-11 10:00:00,South,200,5
2024-01-11 11:00:00,North,601,7
2024-01-11 12:00:00,West,403,13
2024-01-11 13:00:00,North,970,13
2024-01-11 14:00:00,North,639,7
2024-01-11 15:00:00,East,652,10
2024-01-11 16:00:00,East,454,15
2024-01-11 17:00:00,South,402,6
2024-01-11 18:00:00,West,595,5
2024-01-11 19:00:00,East,757,2
2024-01-11 20:00:00,North,867,15
2024-01-11 21:00:00,South,326,16
2024-01-11 22:00:00,North,335,19
2024-01-11 23:00:00,North,972,9
2024-01-12 00:00:00,East,991,19
2024-01-12 01:00:00,South,554,7
2024-01-12 02:00:00,West,112,4
2024-01-12 03:00:00,West,309,3
2024-01-12 04:00:00,East,840,11
2024-01-12 05:00:00,East,496,1
2024-01-12 06:00:00,South,199,6
2024-01-12 07:00:00,West,130,11
2024-01-12 08:00:00,West,997,1
2024-01-12 09:00:00,West,627,7
2024-01-12 10:00:00,North,748,6
2024-01-12 11:00:00,West,428,14
2024-01-12 12:00:00,North,265,2
2024-01-12 13:00:00,South,558,4
2024-01-12 14:00:00,North,921,11
2024-01-12 15:00:00,South,199,15
2024-01-12 16:00:00,West,720,18
2024-01-12 17:00:00,West,954,1
2024-01-12 18:00:00,South,272,3
2024-01-12 19:00:00,East,848,3
2024-01-12 20:00:00,South,261,7
2024-01-12 21:00:00,East,827,1
2024-01-12 22:00:00,North,875,11
2024-01-12 23:00:00,North,362,6
2024-01-13 00:00:00,North,903,3
2024-01-13 01:00:00,West,373,19
2024-01-13 02:00:00,North,102,2
2024-01-13 03:00:00,East,127,18
2024-01-13 04:00:00,North,425,12
2024-01-13 05:00:00,South,248,10
2024-01-13 06:00:00,South,639,5
2024-01-13 07:00:00,West,587,9
2024-01-13 08:00:00,South,921,2
2024-01-13 09:00:00,East,537,2
2024-01-13 10:00:00,North,164,6
2024-01-13 11:00:00,West,455,10
2024-01-13 12:00:00,North,632,18
2024-01-13 13:00:00,North,351,12
2024-01-13 14:00:00,East,334,4
2024-01-13 15:00:00,South,326,17
2024-01-13 16:00:00,South,624,15
2024-01-13 17:00:00,North,412,6
2024-01-13 18:00:00,West,148,16
2024-01-13 19:00:00,South,217,17
2024-01-13 20:00:00,West,153,3
2024-01-13 21:00:00,South,749,10
2024-01-13 22:00:00,West,664,5
2024-01-13 23:00:00,East,143,14
2024-01-14 00:00:00,West,914,13
2024-01-14 01:00:00,East,152,6
2024-01-14 02:00:00,East,685,12
2024-01-14 03:00:00,West,657,8
2024-01-14 04:00:00,East,624,5
2024-01-14 05:00:00,North,776,15
2024-01-14 06:00:00,East,201,16
2024-01-14 07:00:00,South,891,1
2024-01-14 08:00:00,West,869,16
2024-01-14 09:00:00,North,948,5
2024-01-14 10:00:00,West,967,3
2024-01-14 11:00:00,South,497,15
2024-01-14 12:00:00,South,237,13
2024-01-14 13:00:00,South,774,16
2024-01-14 14:00:00,East,486,11
2024-01-14 15:00:00,East,210,2
2024-01-14 16:00:00,West,713,6
2024-01-14 17:00:00,West,116,6
2024-01-14 18:00:00,North,879,14
2024-01-14 19:00:00,North,281,11
2024-01-14 20:00:00,West,983,8
2024-01-14 21:00:00,East,635,8
2024-01-14 22:00:00,South,640,1
2024-01-14 23:00:00,West,270,7
2024-01-15 00:00:00,North,508,6
2024-01-15 01:00:00,East,839,8
2024-01-15 02:00:00,West,477,19
2024-01-15 03:00:00,West,287,8
2024-01-15 04:00:00,East,957,14
2024-01-15 05:00:00,West,329,18
2024-01-15 06:00:00,East,932,16
2024-01-15 07:00:00,South,951,9
2024-01-15 08:00:00,East,218,15
2024-01-15 09:00:00,East,255,10
2024-01-15 10:00:00,East,883,16
2024-01-15 11:00:00,West,786,4
2024-01-15 12:00:00,West,564,13
2024-01-15 13:00:00,East,203,5
2024-01-15 14:00:00,West,703,7
2024-01-15 15:00:00,North,797,9
2024-01-15 16:00:00,North,894,8
2024-01-15 17:00:00,West,601,16
2024-01-15 18:00:00,West,792,6
2024-01-15 19:00:00,East,781,16
2024-01-15 20:00:00,South,798,6
2024-01-15 21:00:00,West,274,14
2024-01-15 22:00:00,North,833,1
2024-01-15 23:00:00,East,844,9
2024-01-16 00:00:00,West,773,13
2024-01-16 01:00:00,North,520,19
2024-01-16 02:00:00,North,233,17
2024-01-16 03:00:00,South,490,11
2024-01-16 04:00:00,East,835,8
2024-01-16 05:00:00,East,600,5
2024-01-16 06:00:00,South,764,10
2024-01-16 07:00:00,South,132,7
2024-01-16 08:00:00,East,154,10
2024-01-16 09:00:00,East,618,4
2024-01-16 10:00:00,West,855,9
2024-01-16 11:00:00,West,924,14
2024-01-16 12:00:00,South,737,2
2024-01-16 13:00:00,West,111,9
2024-01-16 14:00:00,North,627,1
2024-01-16 15:00:00,West,819,10
2024-01-16 16:00:00,West,654,10
2024-01-16 17:00:00,North,472,3
2024-01-16 18:00:00,South,583,6
2024-01-16 19:00:00,North,746,6
2024-01-16 20:00:00,West,327,2
2024-01-16 21:00:00,South,722,18
2024-01-16 22:00:00,West,406,2
2024-01-16 23:00:00,North,556,12
2024-01-17 00:00:00,North,259,5
2024-01-17 01:00:00,West,430,7
2024-01-17 02:00:00,East,875,16
2024-01-17 03:00:00,East,324,1
2024-01-17 04:00:00,North,828,1
2024-01-17 05:00:00,North,603,17
2024-01-17 06:00:00,East,555,1
2024-01-17 07:00:00,East,144,13
2024-01-17 08:00:00,West,313,9
2024-01-17 09:00:00,West,158,15
2024-01-17 10:00:00,East,743,3
2024-01-17 11:00:00,West,715,14
2024-01-17 12:00:00,West,294,11
2024-01-17 13:00:00,South,588,12
2024-01-17 14:00:00,West,256,13
2024-01-17 15:00:00,North,709,13
2024-01-17 16:00:00,West,325,1
2024-01-17 17:00:00,West,511,10
2024-01-17 18:00:00,East,304,3
2024-01-17 19:00:00,North,178,4
2024-01-17 20:00:00,West,223,16
2024-01-17 21:00:00,West,570,8
2024-01-17 22:00:00,South,317,16
2024-01-17 23:00:00,West,615,17
2024-01-18 00:00:00,West,701,19
2024-01-18 01:00:00,South,203,15
2024-01-18 02:00:00,East,492,16
2024-01-18 03:00:00,West,730,15
2024-01-18 04:00:00,South,744,2
2024-01-18 05:00:00,North,923,11
2024-01-18 06:00:00,East,707,1
2024-01-18 07:00:00,North,533,15
2024-01-18 08:00:00,North,430,19
2024-01-18 09:00:00,South,242,4
2024-01-18 10:00:00,West,899,11
2024-01-18 11:00:00,South,639,5
2024-01-18 12:00:00,South,377,3
2024-01-18 13:00:00,South,332,13
2024-01-18 14:00:00,South,628,10
2024-01-18 15:00:00,East,670,11
2024-01-18 16:00:00,West,189,18
2024-01-18 17:00:00,North,591,2
2024-01-18 18:00:00,North,298,7
2024-01-18 19:00:00,West,461,9
2024-01-18 20:00:00,North,540,10
2024-01-18 21:00:00,West,125,18
2024-01-18 22:00:00,North,124,7
2024-01-18 23:00:00,South,493,7
2024-01-19 00:00:00,North,606,3
2024-01-19 01:00:00,West,400,12
2024-01-19 02:00:00,West,438,7
2024-01-19 03:00:00,West,366,17
2024-01-19 04:00:00,West,560,1
2024-01-19 05:00:00,West,792,5
2024-01-19 06:00:00,East,555,16
2024-01-19 07:00:00,East,459,15
2024-01-19 08:00:00,North,167,2
2024-01-19 09:00:00,West,962,9
2024-01-19 10:00:00,North,511,7
2024-01-19 11:00:00,West,590,4
2024-01-19 12:00:00,West,932,18
2024-01-19 13:00:00,East,148,4
2024-01-19 14:00:00,East,786,13
2024-01-19 15:00:00,South,663,1
2024-01-19 16:00:00,East,201,3
2024-01-19 17:00:00,South,315,16
2024-01-19 18:00:00,South,537,4
2024-01-19 19:00:00,South,799,16
2024-01-19 20:00:00,South,668,19
2024-01-19 21:00:00,South,658,1
2024-01-19 22:00:00,North,258,5
2024-01-19 23:00:00,East,588,19
2024-01-20 00:00:00,South,785,11
2024-01-20 01:00:00,West,341,13
2024-01-20 02:00:00,East,893,5
2024-01-20 03:00:00,East,852,4
2024-01-20 04:00:00,South,981,4
2024-01-20 05:00:00,North,104,4
2024-01-20 06:00:00,South,695,4
2024-01-20 07:00:00,North,919,18
2024-01-20 08:00:00,West,460,18
2024-01-20 09:00:00,East,558,16
2024-01-20 10:00:00,West,347,9
2024-01-20 11:00:00,North,665,18
2024-01-20 12:00:00,North,772,2
2024-01-20 13:00:00,West,521,4
2024-01-20 14:00:00,North,837,12
2024-01-20 15:00:00,West,114,7
2024-01-20 16:00:00,East,835,15
2024-01-20 17:00:00,West,672,7
2024-01-20 18:00:00,East,221,17
2024-01-20 19:00:00,West,376,16
2024-01-20 20:00:00,North,657,19
2024-01-20 21:00:00,West,552,9
2024-01-20 22:00:00,North,489,14
2024-01-20 23:00:00,West,393,17
2024-01-21 00:00:00,West,673,5
2024-01-21 01:00:00,South,697,2
2024-01-21 02:00:00,North,545,16
2024-01-21 03:00:00,South,309,14
2024-01-21 04:00:00,North,689,14
2024-01-21 05:00:00,South,813,1
2024-01-21 06:00:00,East,401,3
2024-01-21 07:00:00,West,322,7
2024-01-21 08:00:00,North,833,15
2024-01-21 09:00:00,North,102,19
2024-01-21 10:00:00,West,617,2
2024-01-21 11:00:00,North,192,19
2024-01-21 12:00:00,North,619,9
2024-01-21 13:00:00,South,527,19
2024-01-21 14:00:00,North,592,5
2024-01-21 15:00:00,East,334,18
2024-01-21 16:00:00,East,719,16
2024-01-21 17:00:00,West,260,4
2024-01-21 18:00:00,North,820,12
2024-01-21 19:00:00,West,851,7
2024-01-21 20:00:00,East,430,14
2024-01-21 21:00:00,North,432,12
2024-01-21 22:00:00,North,149,3
2024-01-21 23:00:00,West,622,5
2024-01-22 00:00:00,East,962,17
2024-01-22 01:00:00,North,767,10
2024-01-22 02:00:00,West,591,10
2024-01-22 03:00:00,East,681,11
2024-01-22 04:00:00,West,780,17
2024-01-22 05:00:00,South,371,5
2024-01-22 06:00:00,North,679,13
2024-01-22 07:00:00,South,966,10
2024-01-22 08:00:00,East,351,9
2024-01-22 09:00:00,South,659,17
2024-01-22 10:00:00,South,795,1
2024-01-22 11:00:00,East,931,4
2024-01-22 12:00:00,West,798,4
2024-01-22 13:00:00,South,189,18
2024-01-22 14:00:00,West,545,9
2024-01-22 15:00:00,South,431,18
2024-01-22 16:00:00,West,238,14
2024-01-22 17:00:00,East,456,15
2024-01-22 18:00:00,South,700,6
2024-01-22 19:00:00,East,373,10
2024-01-22 20:00:00,South,118,15
2024-01-22 21:00:00,East,410,4
2024-01-22 22:00:00,East,969,18
2024-01-22 23:00:00,South,985,18
2024-01-23 00:00:00,South,253,17
2024-01-23 01:00:00,South,489,12
2024-01-23 02:00:00,North,359,7
2024-01-23 03:00:00,West,719,16
2024-01-23 04:00:00,North,982,11
2024-01-23 05:00:00,North,896,14
2024-01-23 06:00:00,East,670,3
2024-01-23 07:00:00,South,224,19
2024-01-23 08:00:00,West,453,18
2024-01-23 09:00:00,East,372,10
2024-01-23 10:00:00,North,718,6
2024-01-23 11:00:00,South,910,13
2024-01-23 12:00:00,East,344,10
2024-01-23 13:00:00,South,947,18
2024-01-23 14:00:00,East,549,16
2024-01-23 15:00:00,South,346,6
2024-01-23 16:00:00,North,619,13
2024-01-23 17:00:00,West,240,4
2024-01-23 18:00:00,North,461,14
2024-01-23 19:00:00,West,107,1
2024-01-23 20:00:00,South,577,5
2024-01-23 21:00:00,East,451,8
2024-01-23 22:00:00,North,594,12
2024-01-23 23:00:00,West,705,2
2024-01-24 00:00:00,North,932,12
2024-01-24 01:00:00,West,526,5
2024-01-24 02:00:00,North,138,5
2024-01-24 03:00:00,West,692,13
2024-01-24 04:00:00,West,286,9
2024-01-24 05:00:00,South,695,10
2024-01-24 06:00:00,West,699,1
2024-01-24 07:00:00,South,853,3
2024-01-24 08:00:00,West,953,18
2024-01-24 09:00:00,East,192,12
2024-01-24 10:00:00,East,185,3
2024-01-24 11:00:00,East,143,9
2024-01-24 12:00:00,West,236,2
2024-01-24 13:00:00,South,520,3
2024-01-24 14:00:00,South,173,14
2024-01-24 15:00:00,West,647,4
2024-01-24 16:00:00,East,712,19
2024-01-24 17:00:00,East,611,13
2024-01-24 18:00:00,South,255,7
2024-01-24 19:00:00,East,354,12
2024-01-24 20:00:00,North,270,3
2024-01-24 21:00:00,South,827,9
2024-01-24 22:00:00,East,269,2
2024-01-24 23:00:00,South,863,9
2024-01-25 00:00:00,North,971,12
2024-01-25 01:00:00,South,421,12
2024-01-25 02:00:00,South,666,15
2024-01-25 03:00:00,South,555,2
2024-01-25 04:00:00,South,702,18
2024-01-25 05:00:00,North,889,13
2024-01-25 06:00:00,West,712,14
2024-01-25 07:00:00,South,254,5
2024-01-25 08:00:00,South,988,10
2024-01-25 09:00:00,East,448,12
2024-01-25 10:00:00,South,550,10
2024-01-25 11:00:00,East,975,11
2024-01-25 12:00:00,West,752,2
2024-01-25 13:00:00,North,272,5
2024-01-25 14:00:00,North,109,7
2024-01-25 15:00:00,West,839,6
2024-01-25 16:00:00,North,364,3
2024-01-25 17:00:00,West,537,13
2024-01-25 18:00:00,West,859,3
2024-01-25 19:00:00,West,346,6
2024-01-25 20:00:00,North,766,11
2024-01-25 21:00:00,East,645,17
2024-01-25 22:00:00,West,598,10
2024-01-25 23:00:00,South,228,12
2024-01-26 00:00:00,North,771,17
2024-01-26 01:00:00,West,700,4
2024-01-26 02:00:00,West,704,2
2024-01-26 03:00:00,South,426,11
2024-01-26 04:00:00,East,852,7
2024-01-26 05:00:00,East,934,2
2024-01-26 06:00:00,East,503,18
2024-01-26 07:00:00,West,728,4
2024-01-26 08:00:00,West,705,8
2024-01-26 09:00:00,West,774,14
2024-01-26 10:00:00,North,710,12
2024-01-26 11:00:00,South,724,18
2024-01-26 12:00:00,West,458,11
2024-01-26 13:00:00,South,702,8
2024-01-26 14:00:00,South,957,2
2024-01-26 15:00:00,East,817,15
2024-01-26 16:00:00,North,116,9
2024-01-26 17:00:00,West,373,19
2024-01-26 18:00:00,East,784,8
2024-01-26 19:00:00,East,215,19
2024-01-26 20:00:00,West,960,5
2024-01-26 21:00:00,South,792,11
2024-01-26 22:00:00,East,190,15
2024-01-26 23:00:00,South,181,8
2024-01-27 00:00:00,North,423,19
2024-01-27 01:00:00,South,213,8
2024-01-27 02:00:00,North,868,19
2024-01-27 03:00:00,South,157,18
2024-01-27 04:00:00,East,253,10
2024-01-27 05:00:00,East,976,7
2024-01-27 06:00:00,North,503,9
2024-01-27 07:00:00,West,727,1
2024-01-27 08:00:00,North,954,19
2024-01-27 09:00:00,North,365,5
2024-01-27 10:00:00,South,414,19
2024-01-27 11:00:00,South,814,1
2024-01-27 12:00:00,North,140,15
2024-01-27 13:00:00,East,204,16
2024-01-27 14:00:00,South,989,7
2024-01-27 15:00:00,West,292,12
2024-01-27 16:00:00,South,500,8
2024-01-27 17:00:00,South,377,5
2024-01-27 18:00:00,West,453,10
2024-01-27 19:00:00,North,848,5
2024-01-27 20:00:00,West,832,17
2024-01-27 21:00:00,North,679,5
2024-01-27 22:00:00,North,808,15
2024-01-27 23:00:00,North,355,13
2024-01-28 00:00:00,West,750,1
2024-01-28 01:00:00,North,923,11
2024-01-28 02:00:00,East,760,1
2024-01-28 03:00:00,West,198,11
2024-01-28 04:00:00,East,687,18
2024-01-28 05:00:00,North,381,18
2024-01-28 06:00:00,South,982,16
2024-01-28 07:00:00,North,502,13
2024-01-28 08:00:00,East,208,7
2024-01-28 09:00:00,East,799,1
2024-01-28 10:00:00,West,298,16
2024-01-28 11:00:00,South,402,1
2024-01-28 12:00:00,West,426,17
2024-01-28 13:00:00,East,253,6
2024-01-28 14:00:00,North,651,2
2024-01-28 15:00:00,South,744,17
2024-01-28 16:00:00,North,504,6
2024-01-28 17:00:00,North,561,14
2024-01-28 18:00:00,South,231,18
2024-01-28 19:00:00,West,890,6
2024-01-28 20:00:00,North,973,10
2024-01-28 21:00:00,East,183,18
2024-01-28 22:00:00,North,498,9
2024-01-28 23:00:00,South,853,8
2024-01-29 00:00:00,South,727,10
2024-01-29 01:00:00,South,208,17
2024-01-29 02:00:00,West,320,6
2024-01-29 03:00:00,North,652,14
2024-01-29 04:00:00,West,467,6
2024-01-29 05:00:00,West,246,7
2024-01-29 06:00:00,South,211,12
2024-01-29 07:00:00,South,714,3
2024-01-29 08:00:00,West,657,14
2024-01-29 09:00:00,North,593,19
2024-01-29 10:00:00,East,604,16
2024-01-29 11:00:00,West,574,7
2024-01-29 12:00:00,North,935,8
2024-01-29 13:00:00,South,989,18
2024-01-29 14:00:00,South,370,13
2024-01-29 15:00:00,North,520,9
2024-01-29 16:00:00,East,996,10
2024-01-29 17:00:00,South,806,9
2024-01-29 18:00:00,South,466,15
2024-01-29 19:00:00,South,379,2
2024-01-29 20:00:00,North,382,13
2024-01-29 21:00:00,West,139,2
2024-01-29 22:00:00,South,288,19
2024-01-29 23:00:00,West,263,2
2024-01-30 00:00:00,East,635,3
2024-01-30 01:00:00,South,635,6
2024-01-30 02:00:00,South,103,3
2024-01-30 03:00:00,East,934,10
2024-01-30 04:00:00,South,389,6
2024-01-30 05:00:00,West,532,16
2024-01-30 06:00:00,North,570,17
2024-01-30 07:00:00,West,280,19
2024-01-30 08:00:00,North,347,3
2024-01-30 09:00:00,North,727,18
2024-01-30 10:00:00,West,378,7
2024-01-30 11:00:00,West,976,9
2024-01-30 12:00:00,West,680,12
2024-01-30 13:00:00,West,962,5
2024-01-30 14:00:00,East,353,3
2024-01-30 15:00:00,South,280,11
2024-01-30 16:00:00,North,929,4
2024-01-30 17:00:00,West,780,5
2024-01-30 18:00:00,West,924,1
2024-01-30 19:00:00,West,608,18
2024-01-30 20:00:00,East,860,12
2024-01-30 21:00:00,West,799,13
2024-01-30 22:00:00,West,665,9
2024-01-30 23:00:00,West,425,2
2024-01-31 00:00:00,South,456,5
2024-01-31 01:00:00,East,924,13
2024-01-31 02:00:00,West,749,16
2024-01-31 03:00:00,North,779,16
2024-01-31 04:00:00,North,490,3
2024-01-31 05:00:00,North,714,4
2024-01-31 06:00:00,East,184,11
2024-01-31 07:00:00,East,416,14
2024-01-31 08:00:00,North,311,3
2024-01-31 09:00:00,West,614,16
2024-01-31 10:00:00,East,483,15
2024-01-31 11:00:00,North,790,10
2024-01-31 12:00:00,North,441,9
2024-01-31 13:00:00,West,914,11
2024-01-31 14:00:00,South,943,16
